size(b)    t_malloc avg (ns)    t_free avg (ns)
8388608    2.290000    0.360000    
size(b)    t_malloc avg (ns)    t_free avg (ns)
1    0.610000    0.120000    
2    0.690000    0.110000    
4    0.670000    0.110000    
8    0.670000    0.110000    
16    0.570000    0.110000    
32    0.660000    0.110000    
64    0.510000    0.300000    
128    0.560000    0.300000    
256    0.490000    0.330000    
512    0.650000    0.380000    
1024    0.890000    0.430000    
2048    1.530000    0.450000    
4096    2.490000    0.460000    
8192    4.390000    0.560000    
16384    4.410000    0.560000    
32768    3.770000    0.430000    
65536    3.280000    0.440000    
131072    3.520000    0.450000    
262144    3.370000    0.460000    
524288    3.380000    0.490000    
1048576    3.380000    0.510000    
2097152    3.300000    0.510000    
4194304    3.410000    0.620000    
8388608    3.450000    0.530000    
size(b)    t_malloc avg (ns)    t_free avg (ns)
1    0.330000    0.060000    
2    0.380000    0.060000    
4    0.370000    0.060000    
8    0.360000    0.060000    
16    0.310000    0.060000    
32    0.360000    0.060000    
64    0.280000    0.150000    
128    0.300000    0.170000    
256    0.270000    0.180000    
512    0.350000    0.200000    
1024    0.490000    0.230000    
2048    0.830000    0.240000    
4096    1.360000    0.250000    
8192    2.400000    0.300000    
16384    2.380000    0.300000    
32768    2.700000    0.310000    
65536    2.710000    0.360000    
131072    2.730000    0.360000    
262144    2.720000    0.360000    
524288    2.720000    0.390000    
1048576    2.720000    0.400000    
2097152    2.660000    0.400000    
4194304    2.740000    0.410000    
8388608    2.740000    0.430000    
